IEBCWd_No,Ward,Const_CODE,Constituen,County_COD,County,Male,Female,Total_POP,Region
973,SIGOR,195,CHEPALUNGU,36,BOMET,15779,17039,32818,RIFT VALLEY
974,CHEBUNYO,195,CHEPALUNGU,36,BOMET,17081,17841,34922,RIFT VALLEY
975,SIONGIROI,195,CHEPALUNGU,36,BOMET,15175,16040,31215,RIFT VALLEY
976,MERIGI,196,BOMET EAST,36,BOMET,14512,14550,29062,RIFT VALLEY
977,KEMBU,196,BOMET EAST,36,BOMET,13279,13713,26992,RIFT VALLEY
978,LONGISA,196,BOMET EAST,36,BOMET,13772,14593,28365,RIFT VALLEY
979,KIPRERES,196,BOMET EAST,36,BOMET,11213,12059,23272,RIFT VALLEY
980,CHEMANER,196,BOMET EAST,36,BOMET,9397,9836,19233,RIFT VALLEY
981,SILIBWET TOWNSHIP,197,BOMET CENTRAL,36,BOMET,14023,13994,28017,RIFT VALLEY
982,NDARAWETA,197,BOMET CENTRAL,36,BOMET,11099,10960,22059,RIFT VALLEY
983,SIGORWET,197,BOMET CENTRAL,36,BOMET,10835,10960,21795,RIFT VALLEY
984,CHESEON,197,BOMET CENTRAL,36,BOMET,17368,17108,34476,RIFT VALLEY
985,MUTARAKWA,197,BOMET CENTRAL,36,BOMET,10106,10573,20679,RIFT VALLEY
986,CHEPCHABAS,198,KONOIN,36,BOMET,15042,10662,25704,RIFT VALLEY
987,KIMULOT,198,KONOIN,36,BOMET,11682,11053,22735,RIFT VALLEY
988,MOGOGOSIEKI,198,KONOIN,36,BOMET,15407,15327,30734,RIFT VALLEY
989,BOITO,198,KONOIN,36,BOMET,16497,15467,31964,RIFT VALLEY
990,EMBOMOS,198,KONOIN,36,BOMET,17033,16887,33920,RIFT VALLEY
991,MAUTUMA,199,LUGARI,37,KAKAMEGA,12273,12809,25082,WESTERN
992,LUGARI,199,LUGARI,37,KAKAMEGA,15189,16192,31381,WESTERN
993,LUMAKANDA,199,LUGARI,37,KAKAMEGA,14756,15199,29955,WESTERN
994,CHEKALINI,199,LUGARI,37,KAKAMEGA,9485,10220,19705,WESTERN
995,CHEVAYWA,199,LUGARI,37,KAKAMEGA,16123,17022,33145,WESTERN
996,LUANDETI,199,LUGARI,37,KAKAMEGA,13348,14398,27746,WESTERN
997,LIKUYANI,200,LIKUYANI,37,KAKAMEGA,13376,13867,27243,WESTERN
998,SANGO,200,LIKUYANI,37,KAKAMEGA,11069,11784,22853,WESTERN
999,KONGONI,200,LIKUYANI,37,KAKAMEGA,11374,12327,23701,WESTERN
1000,NZOIA,200,LIKUYANI,37,KAKAMEGA,14504,15817,30321,WESTERN
1001,SINOKO,200,LIKUYANI,37,KAKAMEGA,10321,10698,21019,WESTERN
1002,WEST KABRAS,201,MALAVA,37,KAKAMEGA,12723,13391,26114,WESTERN
1003,CHEMUCHE,201,MALAVA,37,KAKAMEGA,14380,15365,29745,WESTERN
1004,EAST KABRAS,201,MALAVA,37,KAKAMEGA,10964,11695,22659,WESTERN
1005,BUTALI/CHEGULO,201,MALAVA,37,KAKAMEGA,15462,16414,31876,WESTERN
1006,MANDA/SHIVANGA,201,MALAVA,37,KAKAMEGA,15681,16513,32194,WESTERN
1007,SHIRUGU/MUGAI,201,MALAVA,37,KAKAMEGA,12120,12935,25055,WESTERN
1008,SOUTH KABRAS,201,MALAVA,37,KAKAMEGA,18383,19140,37523,WESTERN
1009,BUTSOTSO EAST,202,LURAMBI,37,KAKAMEGA,11259,11968,23227,WESTERN
1010,SOUTH BUTSOTSO,202,LURAMBI,37,KAKAMEGA,8297,9080,17377,WESTERN
1011,CENTRAL BUTSOTSO,202,LURAMBI,37,KAKAMEGA,12405,13339,25744,WESTERN
1012,SHIEYWE,202,LURAMBI,37,KAKAMEGA,24223,24081,48304,WESTERN
1013,MAHIAKALO,202,LURAMBI,37,KAKAMEGA,6075,5992,12067,WESTERN
1014,SHIRERE,202,LURAMBI,37,KAKAMEGA,16958,16552,33510,WESTERN
1015,INGOTSE-MATIHA,203,NAVAKHOLO,37,KAKAMEGA,10732,11359,22091,WESTERN
1016,SHINOYI-SHIKOMARI-ES,203,NAVAKHOLO,37,KAKAMEGA,12223,13129,25352,WESTERN
1017,BUNYALA WEST,203,NAVAKHOLO,37,KAKAMEGA,18165,20242,38407,WESTERN
1018,BUNYALA EAST,203,NAVAKHOLO,37,KAKAMEGA,10750,11372,22122,WESTERN
1019,BUNYALA CENTRAL,203,NAVAKHOLO,37,KAKAMEGA,14194,14999,29193,WESTERN
1020,MUMIAS CENTRAL,204,MUMIAS WEST,37,KAKAMEGA,18063,19151,37214,WESTERN
1021,MUMIAS NORTH,204,MUMIAS WEST,37,KAKAMEGA,8010,7755,15765,WESTERN
1022,ETENJE,204,MUMIAS WEST,37,KAKAMEGA,13338,14824,28162,WESTERN
1023,MUSANDA,204,MUMIAS WEST,37,KAKAMEGA,14565,16156,30721,WESTERN
1024,LUSHEYA/LUBINU,205,MUMIAS EAST,37,KAKAMEGA,18213,19396,37609,WESTERN
1025,MALAHA/ISONGO/MAKUNG,205,MUMIAS EAST,37,KAKAMEGA,14681,16323,31004,WESTERN
1026,EAST WANGA,205,MUMIAS EAST,37,KAKAMEGA,15619,16724,32343,WESTERN
1027,KOYONZO,206,MATUNGU,37,KAKAMEGA,16928,18884,35812,WESTERN
1028,KHOLERA,206,MATUNGU,37,KAKAMEGA,13856,14965,28821,WESTERN
1029,KHALABA,206,MATUNGU,37,KAKAMEGA,9559,10219,19778,WESTERN
1030,MAYONI,206,MATUNGU,37,KAKAMEGA,14903,15681,30584,WESTERN
1031,NAMAMALI,206,MATUNGU,37,KAKAMEGA,15282,16286,31568,WESTERN
1032,MARAMA WEST,207,BUTERE,37,KAKAMEGA,15006,16244,31250,WESTERN
1033,MARAMA CENTRAL,207,BUTERE,37,KAKAMEGA,21393,23324,44717,WESTERN
1034,MARENYO/SHIANDA,207,BUTERE,37,KAKAMEGA,10978,12087,23065,WESTERN
1035,MARAMA NORTH,207,BUTERE,37,KAKAMEGA,9812,10984,20796,WESTERN
1036,MARAMA SOUTH,207,BUTERE,37,KAKAMEGA,9480,10472,19952,WESTERN
1037,KISA NORTH,208,KHWISERO,37,KAKAMEGA,9166,10134,19300,WESTERN
1038,KISA EAST,208,KHWISERO,37,KAKAMEGA,9307,10598,19905,WESTERN
1039,KISA WEST,208,KHWISERO,37,KAKAMEGA,10052,11178,21230,WESTERN
1040,KISA CENTRAL,208,KHWISERO,37,KAKAMEGA,19886,22314,42200,WESTERN
1041,ISUKHA NORTH,209,SHINYALU,37,KAKAMEGA,11961,11535,23496,WESTERN
1042,MURHANDA,209,SHINYALU,37,KAKAMEGA,13549,14736,28285,WESTERN
1043,ISUKHA CENTRAL,209,SHINYALU,37,KAKAMEGA,16536,18009,34545,WESTERN
1044,ISUKHA SOUTH,209,SHINYALU,37,KAKAMEGA,16932,18875,35807,WESTERN
1045,ISUKHA EAST,209,SHINYALU,37,KAKAMEGA,8697,9233,17930,WESTERN
1046,ISUKHA WEST,209,SHINYALU,37,KAKAMEGA,9133,10279,19412,WESTERN
1047,IDAKHO SOUTH,210,IKOLOMANI,37,KAKAMEGA,9450,11467,20917,WESTERN
1048,IDAKHO EAST,210,IKOLOMANI,37,KAKAMEGA,12661,14096,26757,WESTERN
1049,IDAKHO NORTH,210,IKOLOMANI,37,KAKAMEGA,12377,13484,25861,WESTERN
1050,IDAKHO CENTRAL,210,IKOLOMANI,37,KAKAMEGA,14772,16362,31134,WESTERN
1051,LUGAGA/WAMULUMA,211,VIHIGA,38,VIHIGA,13852,15301,29153,WESTERN
1052,SOUTH MARAGOLI,211,VIHIGA,38,VIHIGA,9172,10121,19293,WESTERN
1053,CENTRAL MARAGOLI,211,VIHIGA,38,VIHIGA,11363,12007,23370,WESTERN
1054,MUNGOMA,211,VIHIGA,38,VIHIGA,9286,10514,19800,WESTERN
1055,LYAYWA/IZAVA,212,SABATIA,38,VIHIGA,12224,13381,25605,WESTERN
1056,SABATIA WEST,212,SABATIA,38,VIHIGA,10063,11438,21501,WESTERN
1057,CHAVAKALI,212,SABATIA,38,VIHIGA,8856,9596,18452,WESTERN
1058,NORTH MARAGOLI,212,SABATIA,38,VIHIGA,8854,9633,18487,WESTERN
1059,WODANGA,212,SABATIA,38,VIHIGA,10189,11751,21940,WESTERN
1060,BUSALI,212,SABATIA,38,VIHIGA,11252,12441,23693,WESTERN
1061,SHIRU,213,HAMISI,38,VIHIGA,10618,11716,22334,WESTERN
1062,GISAMBAI,213,HAMISI,38,VIHIGA,10234,11218,21452,WESTERN
1063,SHAMAKHOKHO,213,HAMISI,38,VIHIGA,13119,14416,27535,WESTERN
1064,BANJA,213,HAMISI,38,VIHIGA,10516,12019,22535,WESTERN
1065,MUHUDU,213,HAMISI,38,VIHIGA,7798,8861,16659,WESTERN
1066,TAMBUA,213,HAMISI,38,VIHIGA,9097,9592,18689,WESTERN
1067,JEPKOYAI,213,HAMISI,38,VIHIGA,9090,9965,19055,WESTERN
1068,LUANDA TOWNSHIP,214,LUANDA,38,VIHIGA,7027,7376,14403,WESTERN
1069,WEMILABI,214,LUANDA,38,VIHIGA,10792,12254,23046,WESTERN
1070,MWIBONA,214,LUANDA,38,VIHIGA,8347,9013,17360,WESTERN
1071,LUANDA SOUTH,214,LUANDA,38,VIHIGA,9502,10492,19994,WESTERN
1072,EMABUNGO,214,LUANDA,38,VIHIGA,9928,11191,21119,WESTERN
1073,NORTH EAST BUNYORE,215,EMUHAYA,38,VIHIGA,14012,15979,29991,WESTERN
1074,CENTRAL BUNYORE,215,EMUHAYA,38,VIHIGA,12667,14649,27316,WESTERN
1075,WEST BUNYORE,215,EMUHAYA,38,VIHIGA,14860,16980,31840,WESTERN
1076,CHEPTAIS,216,MT ELGON,39,BUNGOMA,14249,14539,28788,WESTERN
1077,CHESIKAKI,216,MT ELGON,39,BUNGOMA,11882,12180,24062,WESTERN
1078,CHEPYUK,216,MT ELGON,39,BUNGOMA,13055,12387,25442,WESTERN
1079,KAPKATENY,216,MT ELGON,39,BUNGOMA,14369,14299,28668,WESTERN
1080,KAPTAMA,216,MT ELGON,39,BUNGOMA,16778,16777,33555,WESTERN
1081,ELGON,216,MT ELGON,39,BUNGOMA,15786,16076,31862,WESTERN
1082,NAMWELA,217,SIRISIA,39,BUNGOMA,13316,14237,27553,WESTERN
1083,MALAKISI/SOUTH KULIS,217,SIRISIA,39,BUNGOMA,17065,18002,35067,WESTERN
1084,LWANDANYI,217,SIRISIA,39,BUNGOMA,19455,20347,39802,WESTERN
1085,KABUCHAI/CHWELE,218,KABUCHAI,39,BUNGOMA,17280,18575,35855,WESTERN
1086,WEST NALONDO,218,KABUCHAI,39,BUNGOMA,16276,16854,33130,WESTERN
1087,BWAKE/LUUYA,218,KABUCHAI,39,BUNGOMA,16665,17475,34140,WESTERN
1088,MUKUYUNI,218,KABUCHAI,39,BUNGOMA,18509,19479,37988,WESTERN
1089,SOUTH BUKUSU,219,BUMULA,39,BUNGOMA,11123,12012,23135,WESTERN
1090,BUMULA,219,BUMULA,39,BUNGOMA,15333,16590,31923,WESTERN
1091,KHASOKO,219,BUMULA,39,BUNGOMA,6756,7279,14035,WESTERN
1092,KABULA,219,BUMULA,39,BUNGOMA,10007,10749,20756,WESTERN
1093,KIMAETI,219,BUMULA,39,BUNGOMA,17605,18934,36539,WESTERN
1094,WEST BUKUSU,219,BUMULA,39,BUNGOMA,9669,10333,20002,WESTERN
1095,SIBOTI,219,BUMULA,39,BUNGOMA,15734,16773,32507,WESTERN
1096,BUKEMBE WEST,220,KANDUYI,39,BUNGOMA,9983,10328,20311,WESTERN
1097,BUKEMBE EAST,220,KANDUYI,39,BUNGOMA,13251,13498,26749,WESTERN
1098,TOWNSHIP,220,KANDUYI,39,BUNGOMA,9946,9071,19017,WESTERN
1099,KHALABA,220,KANDUYI,39,BUNGOMA,11657,12842,24499,WESTERN
1100,MUSIKOMA,220,KANDUYI,39,BUNGOMA,18725,19208,37933,WESTERN
1101,EAST SANG'ALO,220,KANDUYI,39,BUNGOMA,15632,16656,32288,WESTERN
1102,MARAKARY/TUUTI,220,KANDUYI,39,BUNGOMA,17210,18571,35781,WESTERN
1103,WEST SANG'ALO,220,KANDUYI,39,BUNGOMA,16083,17040,33123,WESTERN
1104,MIHUU,221,WEBUYE EAST,39,BUNGOMA,18589,19219,37808,WESTERN
1105,NDIVISI,221,WEBUYE EAST,39,BUNGOMA,19314,20477,39791,WESTERN
1106,MARAKA,221,WEBUYE EAST,39,BUNGOMA,11876,11999,23875,WESTERN
1107,MISIKHU,222,WEBUYE WEST,39,BUNGOMA,15429,15953,31382,WESTERN
1108,SITIKHO,222,WEBUYE WEST,39,BUNGOMA,14712,15343,30055,WESTERN
1109,MATULO,222,WEBUYE WEST,39,BUNGOMA,16486,17965,34451,WESTERN
1110,BOKOLI,222,WEBUYE WEST,39,BUNGOMA,15972,16919,32891,WESTERN
1111,KIBINGEI,223,KIMILILI,39,BUNGOMA,16834,17624,34458,WESTERN
1112,KIMILILI,223,KIMILILI,39,BUNGOMA,17382,18885,36267,WESTERN
1113,MAENI,223,KIMILILI,39,BUNGOMA,11798,12411,24209,WESTERN
1114,KAMUKUYWA,223,KIMILILI,39,BUNGOMA,18604,19284,37888,WESTERN
1115,MBAKALO,224,TONGAREN,39,BUNGOMA,15614,16615,32229,WESTERN
1116,NAITIRI/KABUYEFWE,224,TONGAREN,39,BUNGOMA,18477,19546,38023,WESTERN
1117,MILIMA,224,TONGAREN,39,BUNGOMA,16119,17233,33352,WESTERN
1118,NDALU,224,TONGAREN,39,BUNGOMA,10457,10691,21148,WESTERN
1119,TONGAREN,224,TONGAREN,39,BUNGOMA,16515,17392,33907,WESTERN
1120,SOYSAMBU/MITUA,224,TONGAREN,39,BUNGOMA,13971,14848,28819,WESTERN
1121,MALABA CENTRAL,225,TESO NORTH,40,BUSIA,12350,12842,25192,WESTERN
1122,MALABA NORTH,225,TESO NORTH,40,BUSIA,6745,7020,13765,WESTERN
1123,ANG'URAI SOUTH,225,TESO NORTH,40,BUSIA,10026,10765,20791,WESTERN
1124,ANG'URAI NORTH,225,TESO NORTH,40,BUSIA,11281,12119,23400,WESTERN
1125,ANG'URAI EAST,225,TESO NORTH,40,BUSIA,7747,7802,15549,WESTERN
1126,MALABA SOUTH,225,TESO NORTH,40,BUSIA,9271,9979,19250,WESTERN
1127,ANGOROM,226,TESO SOUTH,40,BUSIA,12700,13462,26162,WESTERN
1128,CHAKOL SOUTH,226,TESO SOUTH,40,BUSIA,14828,15879,30707,WESTERN
1129,CHAKOL NORTH,226,TESO SOUTH,40,BUSIA,8878,9777,18655,WESTERN
1130,AMUKURA WEST,226,TESO SOUTH,40,BUSIA,8557,8866,17423,WESTERN
1131,AMUKURA EAST,226,TESO SOUTH,40,BUSIA,11237,12120,23357,WESTERN
1132,AMUKURA CENTRAL,226,TESO SOUTH,40,BUSIA,10008,10748,20756,WESTERN
1133,NAMBALE,227,NAMBALE,40,BUSIA,15649,16644,32293,WESTERN
1134,BUKHAYO NORTH/WALATS,227,NAMBALE,40,BUSIA,10792,11667,22459,WESTERN
1135,BUKHAYO EAST,227,NAMBALE,40,BUSIA,10399,11297,21696,WESTERN
1136,BUKHAYO CENTRAL,227,NAMBALE,40,BUSIA,8648,9541,18189,WESTERN
1137,BUKHAYO WEST,228,MATAYOS,40,BUSIA,16384,17096,33480,WESTERN
1138,MAYENJE,228,MATAYOS,40,BUSIA,4448,4722,9170,WESTERN
1139,MATAYOS SOUTH,228,MATAYOS,40,BUSIA,14551,16323,30874,WESTERN
1140,BUSIBWABO,228,MATAYOS,40,BUSIA,5360,5968,11328,WESTERN
1141,BURUMBA,228,MATAYOS,40,BUSIA,12835,13658,26493,WESTERN
1142,MARACHI WEST,229,BUTULA,40,BUSIA,9371,10840,20211,WESTERN
1143,KINGANDOLE,229,BUTULA,40,BUSIA,8602,9668,18270,WESTERN
1144,MARACHI CENTRAL,229,BUTULA,40,BUSIA,9247,10569,19816,WESTERN
1145,MARACHI EAST,229,BUTULA,40,BUSIA,9832,11033,20865,WESTERN
1146,MARACHI NORTH,229,BUTULA,40,BUSIA,11370,12684,24054,WESTERN
1147,ELUGULU,229,BUTULA,40,BUSIA,8602,10052,18654,WESTERN
1148,NAMBOBOTO/NAMBUKU,230,FUNYULA,40,BUSIA,13147,14996,28143,WESTERN
1149,NANGINA,230,FUNYULA,40,BUSIA,9387,10806,20193,WESTERN
1150,AGENG'A NANGUBA,230,FUNYULA,40,BUSIA,12262,13116,25378,WESTERN
1151,BWIRI,230,FUNYULA,40,BUSIA,9464,10322,19786,WESTERN
1152,BUNYALA CENTRAL,231,BUDALANGI,40,BUSIA,4786,5595,10381,WESTERN
1153,BUNYALA NORTH,231,BUDALANGI,40,BUSIA,10007,10941,20948,WESTERN
1154,BUNYALA WEST,231,BUDALANGI,40,BUSIA,10203,11034,21237,WESTERN
1155,BUNYALA SOUTH,231,BUDALANGI,40,BUSIA,6723,7434,14157,WESTERN
1156,WEST UGENYA,232,UGENYA,41,SIAYA,14019,16306,30325,NYANZA
1157,UKWALA,232,UGENYA,41,SIAYA,9724,11546,21270,NYANZA
1158,NORTH UGENYA,232,UGENYA,41,SIAYA,12690,14391,27081,NYANZA
1159,EAST UGENYA,232,UGENYA,41,SIAYA,14006,16252,30258,NYANZA
1160,SIDINDI,233,UGUNJA,41,SIAYA,11411,13116,24527,NYANZA
1161,SIGOMERE,233,UGUNJA,41,SIAYA,13648,15984,29632,NYANZA
1162,UGUNJA,233,UGUNJA,41,SIAYA,18182,21031,39213,NYANZA
1163,USONGA,234,ALEGO USONGA,41,SIAYA,6267,7334,13601,NYANZA
1164,WEST ALEGO,234,ALEGO USONGA,41,SIAYA,14766,17468,32234,NYANZA
1165,CENTRAL ALEGO,234,ALEGO USONGA,41,SIAYA,14433,16560,30993,NYANZA
1166,SIAYA TOWNSHIP,234,ALEGO USONGA,41,SIAYA,15433,16819,32252,NYANZA
1167,NORTH ALEGO,234,ALEGO USONGA,41,SIAYA,15011,16766,31777,NYANZA
1168,SOUTH EAST ALEGO,234,ALEGO USONGA,41,SIAYA,21590,24796,46386,NYANZA
1169,NORTH GEM,235,GEM,41,SIAYA,16772,18232,35004,NYANZA
1170,WEST GEM,235,GEM,41,SIAYA,11193,12288,23481,NYANZA
1171,CENTRAL GEM,235,GEM,41,SIAYA,11476,12378,23854,NYANZA
1172,YALA TOWNSHIP,235,GEM,41,SIAYA,11012,12139,23151,NYANZA
1173,EAST GEM,235,GEM,41,SIAYA,11677,13087,24764,NYANZA
1174,SOUTH GEM,235,GEM,41,SIAYA,14397,16024,30421,NYANZA
1175,WEST YIMBO,236,BONDO,41,SIAYA,14193,14310,28503,NYANZA
1176,CENTRAL SAKWA,236,BONDO,41,SIAYA,9885,10208,20093,NYANZA
1177,SOUTH SAKWA,236,BONDO,41,SIAYA,11186,12074,23260,NYANZA
1178,YIMBO EAST,236,BONDO,41,SIAYA,13171,14018,27189,NYANZA
1179,WEST SAKWA,236,BONDO,41,SIAYA,12161,13152,25313,NYANZA
1180,NORTH SAKWA,236,BONDO,41,SIAYA,15874,17290,33164,NYANZA
1181,EAST ASEMBO,237,RARIEDA,41,SIAYA,15635,17251,32886,NYANZA
1182,WEST ASEMBO,237,RARIEDA,41,SIAYA,15654,17418,33072,NYANZA
1183,NORTH UYOMA,237,RARIEDA,41,SIAYA,10407,10838,21245,NYANZA
1184,SOUTH UYOMA,237,RARIEDA,41,SIAYA,9336,10200,19536,NYANZA
1185,WEST UYOMA,237,RARIEDA,41,SIAYA,13441,14378,27819,NYANZA
1186,KAJULU,238,KISUMU EAST,42,KISUMU,19812,21064,40876,NYANZA
1187,KOLWA EAST,238,KISUMU EAST,42,KISUMU,10307,10981,21288,NYANZA
1188,MANYATTA 'B',238,KISUMU EAST,42,KISUMU,14219,13733,27952,NYANZA
1189,NYALENDA 'A',238,KISUMU EAST,42,KISUMU,14829,13440,28269,NYANZA
1190,KOLWA CENTRAL,238,KISUMU EAST,42,KISUMU,15632,16107,31739,NYANZA
1191,SOUTH WEST KISUMU,239,KISUMU WEST,42,KISUMU,10666,11460,22126,NYANZA
1192,CENTRAL KISUMU,239,KISUMU WEST,42,KISUMU,20523,17605,38128,NYANZA
1193,KISUMU NORTH,239,KISUMU WEST,42,KISUMU,12151,12739,24890,NYANZA
1194,WEST KISUMU,239,KISUMU WEST,42,KISUMU,10609,11538,22147,NYANZA
1195,NORTH WEST KISUMU,239,KISUMU WEST,42,KISUMU,11787,12168,23955,NYANZA
1196,RAILWAYS,240,KISUMU CENTRAL,42,KISUMU,17852,17072,34924,NYANZA
1197,MIGOSI,240,KISUMU CENTRAL,42,KISUMU,9182,10644,19826,NYANZA
1198,SHAURI MOYO/KALOLENI,240,KISUMU CENTRAL,42,KISUMU,6932,7874,14806,NYANZA
1199,MARKET MILIMANI,240,KISUMU CENTRAL,42,KISUMU,9534,9368,18902,NYANZA
1200,KONDELE,240,KISUMU CENTRAL,42,KISUMU,23502,24502,48004,NYANZA
1201,NYALENDA 'B',240,KISUMU CENTRAL,42,KISUMU,16189,16241,32430,NYANZA
1202,WEST SEME,241,SEME,42,KISUMU,13319,15137,28456,NYANZA
1203,CENTRAL SEME,241,SEME,42,KISUMU,10888,12325,23213,NYANZA
1204,EAST SEME,241,SEME,42,KISUMU,10191,11497,21688,NYANZA
1205,NORTH SEME,241,SEME,42,KISUMU,12020,13428,25448,NYANZA
1206,EAST KANO/WAWIDHI,242,NYANDO,42,KISUMU,8247,9087,17334,NYANZA
1207,AWASI/ONJIKO,242,NYANDO,42,KISUMU,12495,13576,26071,NYANZA
1208,AHERO,242,NYANDO,42,KISUMU,17468,18838,36306,NYANZA
1209,KABONYO/KANYAGWAL,242,NYANDO,42,KISUMU,12130,12935,25065,NYANZA
1210,KOBURA,242,NYANDO,42,KISUMU,17122,19139,36261,NYANZA
1211,MIWANI,243,MUHORONI,42,KISUMU,10481,8945,19426,NYANZA
1212,OMBEYI,243,MUHORONI,42,KISUMU,12752,13555,26307,NYANZA
1213,MASOGO/NYANG'OMA,243,MUHORONI,42,KISUMU,15740,16756,32496,NYANZA
1214,CHEMILIL,243,MUHORONI,42,KISUMU,16941,16137,33078,NYANZA
